,potential,Predicted fluorescence,Observed fluorescence
167,0.6766042,4.479884,4.362199572003154
168,0.87384284,4.517824,4.410915563708132
169,-0.9694265,2.2851658,2.5132028131087574
170,0.3876188,4.2596483,4.333265537564674
171,0.36479416,4.228525,4.410551960976488
172,0.3868328,4.25862,4.366066015636077
173,0.34659013,4.201797,4.446148172861377
174,-3.1341052,2.52876,2.478474057688859
175,0.039849717,3.479079,4.087023619873675
176,0.19754912,3.9127257,4.154219291301869
177,-0.18080054,2.8524263,2.5368702970689325
178,0.33792457,4.188459,4.343283464510716
179,0.41935483,4.298746,4.434961983274393
180,0.13941406,3.765422,3.9533075523222734
181,0.3643587,4.227906,4.317632716893704
182,0.6786699,4.480615,4.4671224869654225
183,0.31759444,4.155562,4.275951961581942
184,0.5755215,4.4323897,4.457147308909982
185,0.6433073,4.4668765,4.376189602361238
186,-0.08787437,3.0972633,2.3677765044544894
187,-1.7129835,2.3871427,2.390343206105175
188,0.49243394,4.372232,4.4274457024502425
189,0.539609,4.409078,4.359878838366395
190,0.3489888,4.2054186,4.344678835258363
191,-0.14318836,2.9461644,2.4726208534000382
192,-1.9578527,2.4223044,2.6374212407503754
193,0.60973495,4.4512362,4.435193795783476
194,0.46745256,4.349518,4.480345387810077
195,0.21569349,3.9548616,4.326675562494409
196,-0.5152273,2.375104,2.1454325939960084
197,-1.2529066,2.3159857,1.85982795439757
198,0.2868043,4.101319,4.252845428043726
199,0.2512438,4.0318184,4.383660641910075
200,0.67560047,4.4795265,4.518349530423042
201,0.28091693,4.090326,4.286877996397703
202,-0.7846937,2.2872403,2.5240050102996254
203,-0.0967606,3.07207,3.639578315618403
204,0.31391928,4.1493707,4.29999889467836
205,-0.64943445,2.3130522,2.308469327751093
206,-3.0029042,2.521303,2.2805712516780305
207,-0.8515707,2.283183,2.1909237785336173
208,0.42039934,4.2999544,4.4606610953987325
209,0.47424427,4.3559275,4.494791613924169
210,0.52743834,4.400283,4.397096413638335
211,-0.014345732,3.3148053,2.0573416517827208
212,0.5388833,4.4085674,4.454442854176532
213,0.25803268,4.0456624,4.242734939650045
214,-1.0026836,2.2872887,2.518247192349938
215,0.54115057,4.410159,4.443716770328789
216,0.443327,4.325265,4.438701774429319
217,0.524787,4.3983035,4.460653424653386
218,0.48598662,4.3665934,4.471170084372539
219,0.35477448,4.2140284,4.2975153839591735
220,0.67443585,4.479108,4.440917151013506
221,0.34158763,4.194146,4.433965459705347
222,0.38935483,4.2619104,4.428026144319418
