retention_volume_mL,refractive_index_mV,ultraviolet_mV,right_angle_light_scatter_mV,gene,replicate
0.331333309,-0.366518319,0.058972239,81.6026001,pplu,1
0.335999995,-0.351050645,0.002329743,81.60240173,pplu,1
0.340666652,-0.33938238,0.077043481,81.60240173,pplu,1
0.345333308,-0.333014667,0.090014838,81.60250092,pplu,1
0.349999994,-0.32964626,0.02982166,81.6026001,pplu,1
0.35466665,-0.323878407,-0.034012832,81.60269928,pplu,1
0.359333307,-0.320510954,-0.094628789,81.60309601,pplu,1
0.363999993,-0.314442664,0.001371958,81.60369873,pplu,1
0.368666649,-0.313474655,0.044888586,81.60449982,pplu,1
0.373333335,-0.310207337,0.071062796,81.60509491,pplu,1
0.377999991,-0.308238924,0.055114724,81.60569763,pplu,1
0.382666647,-0.305271059,0.130666137,81.60609436,pplu,1
0.387333333,-0.30140385,-0.016411394,81.60649872,pplu,1
0.39199999,-0.298135579,0.03867536,81.60829926,pplu,1
0.396666646,-0.291168004,0.036552526,81.61360168,pplu,1
0.401333332,-0.287899733,-0.025005125,81.61920166,pplu,1
0.405999988,-0.287932098,0.065056309,81.62310028,pplu,1
0.410666645,-0.286464363,0.050817128,81.62379456,pplu,1
0.415333331,-0.283596635,0.041756075,81.62379456,pplu,1
0.419999987,-0.280928224,-0.039759025,81.62349701,pplu,1
0.424666643,-0.276860774,-0.014133508,81.62289429,pplu,1
0.429333329,-0.27089262,0.091620103,81.62200165,pplu,1
0.433999985,-0.271124333,0.084940173,81.62059784,pplu,1
0.438666642,-0.262756765,0.075438261,81.61719513,pplu,1
0.443333328,-0.255488783,0.084836602,81.61090088,pplu,1
0.447999984,-0.25022161,0.003960571,81.60520172,pplu,1
0.45266664,-0.241953209,0.07665512,81.60179901,pplu,1
0.457333326,-0.233985215,-0.004400592,81.60139465,pplu,1
0.461999983,-0.229717493,0.082609981,81.60119629,pplu,1
0.466666639,-0.222449496,0.155628443,81.60119629,pplu,1
0.471333325,-0.219182178,0.054260377,81.60119629,pplu,1
0.475999981,-0.215713635,-0.00507362,81.60119629,pplu,1
0.480666637,-0.211445898,-0.059430115,81.60139465,pplu,1
0.485333323,-0.214278281,0.038986016,81.60169983,pplu,1
0.48999998,-0.218810096,-0.058291286,81.60269928,pplu,1
0.494666636,-0.217342362,0.02663748,81.60399628,pplu,1
0.499333322,-0.217874467,0.000103544,81.60520172,pplu,1
0.504000008,-0.220106989,-0.051095895,81.60569763,pplu,1
0.508666635,-0.217139125,-0.089970306,81.60599518,pplu,1
0.513333321,-0.216670826,0.005306656,81.60739899,pplu,1
0.518000007,-0.213602826,0.038468253,81.60949707,pplu,1
0.522666633,-0.213835478,-0.0198282,81.61169434,pplu,1
0.527333319,-0.209267348,-0.06791947,81.6128006,pplu,1
0.532000005,-0.206399605,-0.077754483,81.61309814,pplu,1
0.536666632,-0.201131478,-0.037015356,81.61239624,pplu,1
0.541333318,-0.203163728,0.06484919,81.61129761,pplu,1
0.546000004,-0.203995287,0.069405824,81.61029816,pplu,1
0.55066663,-0.202928096,-0.045142785,81.60979462,pplu,1
0.555333316,-0.196259961,0.040047437,81.60969543,pplu,1
0.560000002,-0.19219251,0.070570879,81.60869598,pplu,1
0.564666629,-0.187223822,0.055994958,81.60759735,pplu,1
0.569333315,-0.180156112,0.039322566,81.60639954,pplu,1
0.574000001,-0.178288788,-0.013615806,81.60609436,pplu,1
0.578666627,-0.169620797,-0.007662179,81.60620117,pplu,1
0.583333313,-0.164552942,-0.090953767,81.60639954,pplu,1
0.588,-0.15968439,0.040746424,81.60679626,pplu,1
0.592666626,-0.158316791,-0.021277744,81.6072998,pplu,1
0.597333312,-0.158449322,-0.048611127,81.60759735,pplu,1
0.601999998,-0.161980733,0.038312923,81.60739899,pplu,1
0.606666625,-0.159613684,0.150760159,81.6065979,pplu,1
0.611333311,-0.156345397,0.013875101,81.60549927,pplu,1
0.615999997,-0.153977394,0.038157593,81.60479736,pplu,1
0.620666623,-0.15300937,-0.003468706,81.60430145,pplu,1
0.625333309,-0.154241487,0.150112778,81.60399628,pplu,1
0.629999995,-0.151873484,0.009707347,81.60340118,pplu,1
0.634666622,-0.150806278,-0.044159215,81.60279846,pplu,1
0.639333308,-0.149238408,0.053923819,81.60209656,pplu,1
0.643999994,-0.147470251,-0.008542285,81.60150146,pplu,1
0.64866662,-0.146402106,-0.045867514,81.60109711,pplu,1
0.653333306,-0.144934356,-0.030440832,81.60079956,pplu,1
0.657999992,-0.144467026,0.020087976,81.60049438,pplu,1
0.662666619,-0.145599008,0.078001425,81.60019684,pplu,1
0.667333305,-0.141830996,0.009707347,81.60009766,pplu,1
0.671999991,-0.140963122,0.031892683,81.60009766,pplu,1
0.676666617,-0.139694691,-0.056790102,81.60029602,pplu,1
0.681333303,-0.137526959,0.002536832,81.60070038,pplu,1
0.68599999,-0.134859487,-0.057670109,81.60099792,pplu,1
0.690666616,-0.132891074,0.023893407,81.60150146,pplu,1
0.695333302,-0.130523071,0.026171504,81.60189819,pplu,1
0.699999988,-0.130355179,0.023194447,81.60229492,pplu,1
0.704666615,-0.12418773,-0.002122644,81.60279846,pplu,1
0.709333301,-0.117419474,-0.006471444,81.60319519,pplu,1
0.713999987,-0.10525246,0.107362382,81.605896,pplu,1
0.718666613,-0.100084461,0.037613939,81.60910034,pplu,1
0.723333299,-0.098916173,0.084681258,81.61239624,pplu,1
0.727999985,-0.093448721,0.017318059,81.61349487,pplu,1
0.732666612,-0.089680716,0.044189598,81.6140976,pplu,1
0.737333298,-0.084912308,0.105653487,81.6147995,pplu,1
0.741999984,-0.080644585,0.056693971,81.61529541,pplu,1
0.74666667,-0.075476587,0.095219031,81.6155014,pplu,1
0.751333296,-0.073208712,0.105290994,81.61499786,pplu,1
0.755999982,-0.066541538,0.061768312,81.61419678,pplu,1
0.760666668,-0.06897337,0.062778011,81.61119843,pplu,1
0.765333295,-0.0636051,0.056693971,81.60810089,pplu,1
0.769999981,-0.055637117,0.063269913,81.60540009,pplu,1
0.774666667,-0.055469234,-0.026920572,81.60479736,pplu,1
0.779333293,-0.056602165,0.025964402,81.60469818,pplu,1
0.783999979,-0.054433472,0.081004746,81.60440063,pplu,1
0.788666666,-0.053765863,0.086907893,81.60449982,pplu,1
0.793333292,-0.055998378,0.099284038,81.604599,pplu,1
0.797999978,-0.061130065,0.073548257,81.60489655,pplu,1
0.802666664,-0.064562306,-0.026402885,81.60509491,pplu,1
0.807333291,-0.066194005,0.016463788,81.60499573,pplu,1
0.811999977,-0.070326239,0.120386437,81.60499573,pplu,1
0.816666663,-0.074458472,0.078571022,81.60499573,pplu,1
0.821333289,-0.076890305,0.050273463,81.60509491,pplu,1
0.825999975,-0.081523217,0.016644998,81.60489655,pplu,1
0.830666661,-0.085954905,0.073159903,81.604599,pplu,1
0.835333288,-0.08958742,-0.001812014,81.60440063,pplu,1
0.839999974,-0.092819385,0.068836242,81.60469818,pplu,1
0.84466666,-0.09245123,0.058765125,81.6053009,pplu,1
0.849333286,-0.094483472,0.024100505,81.605896,pplu,1
0.853999972,-0.09451586,0.002329743,81.60630035,pplu,1
0.858666658,-0.094947837,-0.041881479,81.60639954,pplu,1
0.863333285,-0.094479546,-0.020708282,81.60630035,pplu,1
0.867999971,-0.097612336,0.013875101,81.60620117,pplu,1
0.872666657,-0.091644205,-0.064295985,81.60599518,pplu,1
0.877333283,-0.093076587,-0.0117003,81.605896,pplu,1
0.881999969,-0.09610828,-0.005953732,81.60559845,pplu,1
0.886666656,-0.099340245,0.037458614,81.60499573,pplu,1
0.891333282,-0.099472769,-0.058291286,81.60430145,pplu,1
0.895999968,-0.096004218,0.01610137,81.60389709,pplu,1
