temperature,well,gene,value
72.11385827,A2,amac,17.39476383
72.73307087,A2,amac,17.91181461
73.35228346,A2,amac,18.05028042
73.97149606,A2,amac,18.01139466
74.59070866,A2,amac,18.35683914
75.20992126,A2,amac,18.87235643
75.82913386,A2,amac,19.66235205
76.44834646,A2,amac,20.60620995
77.06755906,A2,amac,21.50585132
77.68677165,A2,amac,22.460869
78.30598425,A2,amac,23.93934696
78.92519685,A2,amac,25.94826544
79.54440945,A2,amac,27.9638928
80.16362205,A2,amac,30.25534555
80.78283465,A2,amac,32.67932377
81.40204724,A2,amac,34.87069966
82.02125984,A2,amac,36.99749554
82.64047244,A2,amac,38.56388428
83.25968504,A2,amac,39.13901212
83.87889764,A2,amac,38.28458783
84.49811024,A2,amac,35.45061742
85.11732283,A2,amac,30.38531806
85.73653543,A2,amac,23.17603729
86.35574803,A2,amac,15.09789465
86.97496063,A2,amac,8.177866098
87.59417323,A2,amac,3.778402096
88.21338583,A2,amac,1.535609957
88.83259843,A2,amac,0.580949546
89.45181102,A2,amac,0.267580832
90.07102362,A2,amac,0.12424494
90.69023622,A2,amac,0.062492326
91.30944882,A2,amac,0.067126863
91.92866142,A2,amac,0.035906411
92.54787402,A2,amac,0.02023661
93.16708661,A2,amac,0.063839408
93.78629921,A2,amac,0.027436694
94.40551181,A2,amac,-0.012547373
95.02472441,A2,amac,0.00980558
95.64393701,A2,amac,0.013941104
96.26314961,A2,amac,-0.010453836
96.8823622,A2,amac,0.002574243
97.5015748,A2,amac,0.072025847
98.1207874,A2,amac,0.028426379
98.74,A2,amac,0.028426379
20.1,A3,amacV14L,6.492385777
20.7192126,A3,amacV14L,6.492385777
21.3384252,A3,amacV14L,1.257741485
21.9576378,A3,amacV14L,-0.937675213
22.57685039,A3,amacV14L,-1.312985692
23.19606299,A3,amacV14L,-1.557595973
23.81527559,A3,amacV14L,-1.964693791
24.43448819,A3,amacV14L,-2.321225969
25.05370079,A3,amacV14L,-2.193651315
25.67291339,A3,amacV14L,-2.084208383
26.29212598,A3,amacV14L,-2.382435589
26.91133858,A3,amacV14L,-2.483362886
27.53055118,A3,amacV14L,-2.653360512
28.14976378,A3,amacV14L,-2.628446404
28.76897638,A3,amacV14L,-2.410334845
29.38818898,A3,amacV14L,-2.378097414
30.00740157,A3,amacV14L,-2.338550541
30.62661417,A3,amacV14L,-2.619959228
31.24582677,A3,amacV14L,-2.838839139
31.86503937,A3,amacV14L,-2.261030125
32.48425197,A3,amacV14L,-1.788364125
33.10346457,A3,amacV14L,-2.001121932
33.72267717,A3,amacV14L,-1.984330676
34.34188976,A3,amacV14L,-1.490438527
34.96110236,A3,amacV14L,-1.288128922
35.58031496,A3,amacV14L,-1.591387391
36.19952756,A3,amacV14L,-1.413323114
36.81874016,A3,amacV14L,-0.928333738
37.43795276,A3,amacV14L,-0.824600066
38.05716535,A3,amacV14L,-0.40549787
38.67637795,A3,amacV14L,0.216166316
39.29559055,A3,amacV14L,0.223431761
39.91480315,A3,amacV14L,-0.15528068
40.53401575,A3,amacV14L,-0.042769266
41.15322835,A3,amacV14L,0.298353846
41.77244094,A3,amacV14L,0.550820931
42.39165354,A3,amacV14L,0.948799881
43.01086614,A3,amacV14L,0.831951447
43.63007874,A3,amacV14L,0.455034162
44.24929134,A3,amacV14L,0.6155134
44.86850394,A3,amacV14L,0.627063612
45.48771654,A3,amacV14L,0.169785383
46.10692913,A3,amacV14L,-0.542254117
46.72614173,A3,amacV14L,-1.233501434
47.34535433,A3,amacV14L,-0.796451928
