,time,gene,well,fluorescence,fluorescence_normed
174,8700,cgre,D1,10075.0,0.7888967191292773
175,8750,cgre,D1,10127.0,0.7929684441312348
176,8800,cgre,D1,9874.0,0.7731579359486336
177,8850,cgre,D1,10205.0,0.7990760316341712
178,8900,cgre,D1,10235.0,0.8014251037506851
179,8950,cgre,D1,10146.0,0.794456189805027
180,9000,cgre,D1,10186.0,0.797588285960379
181,9050,cgre,D1,10315.0,0.8076892960613891
182,9100,cgre,D1,10492.0,0.8215488215488216
183,9150,cgre,D1,10185.0,0.7975099835564952
184,9200,cgre,D1,10277.0,0.8047138047138047
185,9250,cgre,D1,10286.0,0.8054185263487589
186,9300,cgre,D1,10358.0,0.8110562994283924
187,9350,cgre,D1,10318.0,0.8079242032730405
188,9400,cgre,D1,10311.0,0.8073760864458539
189,9450,cgre,D1,10173.0,0.7965703547098896
190,9500,cgre,D1,10284.0,0.8052619215409913
191,9550,cgre,D1,10376.0,0.8124657426983009
192,9600,cgre,D1,10429.0,0.8166157701041422
193,9650,cgre,D1,10284.0,0.8052619215409913
194,9700,cgre,D1,10221.0,0.8003288700963119
195,9750,cgre,D1,10642.0,0.8332941821313914
196,9800,cgre,D1,10576.0,0.8281262234750607
197,9850,cgre,D1,10717.0,0.8391668624226764
198,9900,cgre,D1,10588.0,0.8290658523216663
199,9950,cgre,D1,10366.0,0.8116827186594628
200,10000,cgre,D1,10468.0,0.8196695638556104
201,10050,cgre,D1,10643.0,0.8333724845352752
202,10100,cgre,D1,10402.0,0.8145016051992796
203,10150,cgre,D1,10786.0,0.8445697282906586
204,10200,cgre,D1,10553.0,0.8263252681857333
205,10250,cgre,D1,10614.0,0.831101714822645
206,10300,cgre,D1,10485.0,0.821000704721635
207,10350,cgre,D1,10486.0,0.8210790071255187
208,10400,cgre,D1,10542.0,0.8254639417430115
209,10450,cgre,D1,10687.0,0.8368177903061624
210,10500,cgre,D1,10659.0,0.834625322997416
211,10550,cgre,D1,10558.0,0.8267167802051523
212,10600,cgre,D1,10700.0,0.8378357215566518
213,10650,cgre,D1,10744.0,0.841281027327539
214,10700,cgre,D1,10717.0,0.8391668624226764
215,10750,cgre,D1,10503.0,0.8224101479915433
216,10800,cgre,D1,10771.0,0.8433951922324016
217,10850,cgre,D1,10803.0,0.845900869156683
218,10900,cgre,D1,10443.0,0.8177120037585154
219,10950,cgre,D1,10536.0,0.8249941273197087
220,11000,cgre,D1,10640.0,0.8331375773236238
221,11050,cgre,D1,10645.0,0.8335290893430428
222,11100,cgre,D1,10628.0,0.8321979484770182
223,11150,cgre,D1,10598.0,0.8298488763605043
224,11200,cgre,D1,10781.0,0.8441782162712396
225,11250,cgre,D1,10841.0,0.8488763605042675
226,11300,cgre,D1,10848.0,0.8494244773314541
227,11350,cgre,D1,10902.0,0.8536528071411792
228,11400,cgre,D1,10787.0,0.8446480306945423
229,11450,cgre,D1,10878.0,0.851773549447968
230,11500,cgre,D1,10527.0,0.8242894056847545
231,11550,cgre,D1,10874.0,0.8514603398324329
232,11600,cgre,D1,11004.0,0.8616396523373268
233,11650,cgre,D1,10729.0,0.8401064912692819
