temperature,gene,gfp_conc_mgml,buffer,unfolding_ratio,unfolding_ratio_deriv,unfolding_scatter,unfolding_scatter_deriv,refolding_ratio,refolding_ratio_deriv,refolding_scatter,refolding_scatter_deriv
71.875,amacV14L,1,im25mM_h2o,0.677,0.000166,125.542,0.734746,0.63,0.001245,187.334,-0.23003
71.929,amacV14L,1,im25mM_h2o,0.678,0.000154,125.59,0.755113,0.632,0.001248,187.518,-0.229325
71.983,amacV14L,1,im25mM_h2o,0.677,0.000142,125.528,0.776288,0.632,0.00125,187.478,-0.228583
72.037,amacV14L,1,im25mM_h2o,0.675,0.000129,125.464,0.798305,0.632,0.001252,187.468,-0.227809
72.091,amacV14L,1,im25mM_h2o,0.675,0.000116,125.735,0.821191,0.632,0.001254,187.622,-0.227012
72.145,amacV14L,1,im25mM_h2o,0.676,0.000103,125.644,0.844975,0.63,0.001256,187.466,-0.226202
72.199,amacV14L,1,im25mM_h2o,0.676,8.90E-05,125.786,0.869683,0.63,0.001257,187.398,-0.225393
72.253,amacV14L,1,im25mM_h2o,0.677,7.40E-05,125.864,0.895338,0.63,0.001259,187.422,-0.224597
72.307,amacV14L,1,im25mM_h2o,0.679,5.90E-05,125.721,0.921964,0.632,0.00126,187.221,-0.223829
72.361,amacV14L,1,im25mM_h2o,0.68,4.40E-05,125.895,0.949579,0.632,0.001261,187.23,-0.223106
72.415,amacV14L,1,im25mM_h2o,0.678,2.70E-05,125.943,0.978203,0.633,0.001262,187.208,-0.222443
72.469,amacV14L,1,im25mM_h2o,0.678,1.10E-05,125.928,1.007852,0.632,0.001263,187.203,-0.221856
72.522,amacV14L,1,im25mM_h2o,0.679,-6.00E-06,125.966,1.038539,0.631,0.001264,187.331,-0.221362
72.576,amacV14L,1,im25mM_h2o,0.676,-2.40E-05,125.81,1.070278,0.632,0.001264,187.281,-0.220973
72.63,amacV14L,1,im25mM_h2o,0.678,-4.30E-05,126.019,1.103079,0.633,0.001264,187.37,-0.220703
72.684,amacV14L,1,im25mM_h2o,0.679,-6.20E-05,126.002,1.136952,0.633,0.001264,187.265,-0.22056
72.738,amacV14L,1,im25mM_h2o,0.679,-8.10E-05,126.367,1.171908,0.634,0.001264,187.265,-0.220553
72.792,amacV14L,1,im25mM_h2o,0.679,-0.000101,126.438,1.207957,0.633,0.001264,187.363,-0.220689
72.846,amacV14L,1,im25mM_h2o,0.677,-0.000122,126.347,1.245112,0.632,0.001263,187.45,-0.220972
72.9,amacV14L,1,im25mM_h2o,0.677,-0.000143,126.475,1.283387,0.632,0.001262,187.378,-0.221403
72.954,amacV14L,1,im25mM_h2o,0.678,-0.000165,126.477,1.322796,0.632,0.001261,187.378,-0.221983
73.008,amacV14L,1,im25mM_h2o,0.677,-0.000188,126.467,1.363361,0.633,0.00126,187.329,-0.22271
73.062,amacV14L,1,im25mM_h2o,0.677,-0.000211,126.667,1.405104,0.634,0.001259,187.126,-0.223579
73.116,amacV14L,1,im25mM_h2o,0.678,-0.000235,126.767,1.448056,0.634,0.001257,187.184,-0.224586
73.17,amacV14L,1,im25mM_h2o,0.678,-0.000259,126.766,1.492248,0.633,0.001256,187.3,-0.225724
73.223,amacV14L,1,im25mM_h2o,0.677,-0.000284,126.915,1.537718,0.634,0.001254,187.14,-0.226984
73.277,amacV14L,1,im25mM_h2o,0.677,-0.00031,126.757,1.584502,0.633,0.001252,187.051,-0.228359
73.331,amacV14L,1,im25mM_h2o,0.676,-0.000336,126.913,1.632643,0.632,0.001249,187.139,-0.22984
73.385,amacV14L,1,im25mM_h2o,0.675,-0.000363,127.031,1.682183,0.632,0.001247,187.002,-0.231416
73.439,amacV14L,1,im25mM_h2o,0.676,-0.00039,127.108,1.733168,0.634,0.001244,187.102,-0.233077
73.493,amacV14L,1,im25mM_h2o,0.676,-0.000418,127.145,1.78564,0.632,0.001242,187.278,-0.234811
73.547,amacV14L,1,im25mM_h2o,0.676,-0.000447,127.254,1.839642,0.632,0.001239,187.147,-0.236607
73.601,amacV14L,1,im25mM_h2o,0.678,-0.000476,127.422,1.895218,0.632,0.001236,187.334,-0.238451
73.655,amacV14L,1,im25mM_h2o,0.678,-0.000506,127.495,1.952413,0.634,0.001233,187.246,-0.240329
73.709,amacV14L,1,im25mM_h2o,0.678,-0.000537,127.633,2.011273,0.635,0.00123,187.188,-0.242226
73.763,amacV14L,1,im25mM_h2o,0.676,-0.000568,127.625,2.071841,0.634,0.001227,187.135,-0.244128
73.817,amacV14L,1,im25mM_h2o,0.675,-0.000599,127.566,2.134162,0.632,0.001224,186.977,-0.246019
73.871,amacV14L,1,im25mM_h2o,0.676,-0.000632,127.805,2.198277,0.634,0.00122,187.099,-0.247883
73.925,amacV14L,1,im25mM_h2o,0.676,-0.000665,127.848,2.264233,0.634,0.001217,187.311,-0.249708
73.978,amacV14L,1,im25mM_h2o,0.677,-0.000698,127.949,2.332075,0.634,0.001214,187.079,-0.251479
74.032,amacV14L,1,im25mM_h2o,0.678,-0.000733,128.182,2.401853,0.633,0.00121,187.234,-0.253187
74.086,amacV14L,1,im25mM_h2o,0.679,-0.000768,128.202,2.473613,0.633,0.001207,186.887,-0.254821
74.14,amacV14L,1,im25mM_h2o,0.678,-0.000803,128.074,2.547399,0.635,0.001204,186.9,-0.256374
74.194,amacV14L,1,im25mM_h2o,0.677,-0.00084,128.362,2.623259,0.635,0.0012,186.976,-0.257842
74.248,amacV14L,1,im25mM_h2o,0.678,-0.000877,128.368,2.701237,0.637,0.001197,186.866,-0.259223
74.302,amacV14L,1,im25mM_h2o,0.68,-0.000914,128.456,2.78138,0.634,0.001194,186.819,-0.260515
